id,original_language,overview,release_date,title,popularity,vote_average,vote_count,genre,director,year
71157,fr,"Paris, France. Fred and his colleagues, members of the BPM, the Police Child Protection Unit, dedicated to pursuing all sorts of offenses committed against the weakest, must endure the scrutiny of Melissa, a photographer commissioned to graphically document the daily routine of the team.",2011-10-06,Polisse,2.3662,7.783,1246,"Drama, Crime",Maïwenn,2011
1675,fr,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",1973-05-24,Day for Night,1.0825,7.783,605,"Comedy, Drama",François Truffaut,1973
438631,en,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021-09-15,Dune,25.2012,7.782,13448,"Science Fiction, Adventure",Denis Villeneuve,2021
14069,ja,"When 17-year-old Makoto Konno gains the ability to, quite literally, ""leap"" backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends.",2006-07-15,The Girl Who Leapt Through Time,3.7538,7.78,2065,,,2006
5000,fr,"Orphaned after a Nazi air raid, Paulette, a young Parisian girl, runs into Michel, an older peasant boy, and the two quickly become close. Together, they try to make sense of the chaotic and crumbling world around them, attempting to cope with death as they create a burial ground for Paulette's deceased pet dog. Eventually, however, Paulette's stay with Michel's family is threatened by the harsh realities of wartime.",1952-05-09,Forbidden Games,1.9648,7.78,318,"Drama, War",René Clément,1952
262,en,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",1982-12-18,The King of Comedy,6.6602,7.78,2374,"Drama, Comedy",Martin Scorsese,1982
585511,en,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",2022-08-05,Luck,17.8826,7.779,1782,"Animation, Adventure, Comedy, Fantasy",Peggy Holmes,2022
11602,sv,"Karin hopes to recover from her recent stay at a mental hospital by spending the summer at her family's cottage on a tiny island. Her husband, Martin, cares for her but is frustrated by her physical withdrawal. Her younger brother, Minus, is confused by Karin's vulnerability and his own budding sexuality. Their father, David, cannot overcome his haughty remoteness. Beset by visions, Karin descends further into madness.",1961-10-16,Through a Glass Darkly,0.9135,7.777,500,Drama,Ingmar Bergman,1961
9421,fr,"For Pierre Brochant and his friends, Wednesday is “Idiots' Day”. The idea is simple: each person has to bring along an idiot. The one who brings the most spectacular idiot wins the prize. Tonight, Brochant is ecstatic. He has found a gem. The ultimate idiot, “A world champion idiot!”. What Brochant doesn’t know is that Pignon is a real jinx, a past master in the art of bringing on catastrophes...",1998-04-15,The Dinner Game,3.2471,7.776,1943,Comedy,Francis Veber,1998
712454,fr,A photojournalist's obsessive quest for the truth about the first expedition to Mt. Everest leads him to search for an esteemed climber who went missing.,2021-09-22,The Summit of the Gods,1.945,7.775,366,"Animation, Adventure, Mystery",Patrick Imbert,2021
